timestamp num_ops machine arquivo
1318878952181007 144420 palmito 2011_10_17
1318879552181007 145622 palmito 2011_10_17
1318880152181007 144325 palmito 2011_10_17
1318880752181007 144168 palmito 2011_10_17
1318881352181007 145124 palmito 2011_10_17
1318881952181007 144322 palmito 2011_10_17
1318882552181007 144934 palmito 2011_10_17
1318883152181007 145017 palmito 2011_10_17
1318883752181007 144328 palmito 2011_10_17
1318884352181007 144175 palmito 2011_10_17
1318884952181007 145390 palmito 2011_10_17
1318885552181007 144841 palmito 2011_10_17
1318886152181007 144434 palmito 2011_10_17
1318886752181007 145208 palmito 2011_10_17
1318887352181007 144359 palmito 2011_10_17
1318887952181007 148864 palmito 2011_10_17
1318888552181007 145630 palmito 2011_10_17
1318889152181007 144342 palmito 2011_10_17
1318889752181007 144441 palmito 2011_10_17
1318890352181007 145110 palmito 2011_10_17
1318890952181007 144339 palmito 2011_10_17
1318891552181007 144672 palmito 2011_10_17
1318892152181007 145038 palmito 2011_10_17
1318892752181007 144339 palmito 2011_10_17
1318893352181007 144446 palmito 2011_10_17
1318893952181007 145197 palmito 2011_10_17
1318894552181007 144840 palmito 2011_10_17
1318895152181007 144200 palmito 2011_10_17
1318895752181007 145152 palmito 2011_10_17
1318896352181007 144362 palmito 2011_10_17
1318896952181007 144454 palmito 2011_10_17
1318897552181007 145617 palmito 2011_10_17
1318898152181007 144331 palmito 2011_10_17
1318898752181007 144189 palmito 2011_10_17
1318899352181007 144748 palmito 2011_10_17
1318899952181007 144338 palmito 2011_10_17
1318900552181007 144926 palmito 2011_10_17
1318901152181007 145377 palmito 2011_10_17
1318901752181007 144307 palmito 2011_10_17
1318902352181007 144181 palmito 2011_10_17
1318902952181007 145178 palmito 2011_10_17
1318903552181007 144320 palmito 2011_10_17
1318904152181007 144918 palmito 2011_10_17
1318904752181007 145109 palmito 2011_10_17
1318905352181007 144317 palmito 2011_10_17
1318905952181007 144169 palmito 2011_10_17
1318906552181007 145120 palmito 2011_10_17
1318872952181007 117 gupi 2011_10_17
1318873552181007 30 gupi 2011_10_17
1318874152181007 27 gupi 2011_10_17
1318874752181007 133 gupi 2011_10_17
1318875352181007 9 gupi 2011_10_17
1318887952181007 6899 gupi 2011_10_17
1318888552181007 13710 gupi 2011_10_17
1318891552181007 328 gupi 2011_10_17
1318892152181007 537 gupi 2011_10_17
1318894552181007 166 gupi 2011_10_17
1318895152181007 254 gupi 2011_10_17
1318896352181007 667 gupi 2011_10_17
1318896952181007 135 gupi 2011_10_17
1318854952181007 32241 jurupoca 2011_10_17
1318855552181007 320 jurupoca 2011_10_17
1318856152181007 1944 jurupoca 2011_10_17
1318856752181007 1395 jurupoca 2011_10_17
1318857352181007 594 jurupoca 2011_10_17
1318857952181007 791 jurupoca 2011_10_17
1318858552181007 1665 jurupoca 2011_10_17
1318859152181007 909 jurupoca 2011_10_17
1318859752181007 749 jurupoca 2011_10_17
1318860352181007 2724 jurupoca 2011_10_17
1318860952181007 43 jurupoca 2011_10_17
1318830952181007 1 morcego 2011_10_17
1318871152181007 16 morcego 2011_10_17
1318871752181007 124383 morcego 2011_10_17
1318872352181007 7229 morcego 2011_10_17
1318872952181007 1774 morcego 2011_10_17
1318873552181007 112 morcego 2011_10_17
1318874152181007 129 morcego 2011_10_17
1318874752181007 4134 morcego 2011_10_17
1318875352181007 1 morcego 2011_10_17
1318875952181007 24 morcego 2011_10_17
1318876552181007 2057 morcego 2011_10_17
1318877152181007 1822 morcego 2011_10_17
1318825552181007 2 mussum 2011_10_17
1318848952181007 1 mussum 2011_10_17
1318850752181007 4 mussum 2011_10_17
1318861552181007 1 mussum 2011_10_17
1318868752181007 17381 mussum 2011_10_17
1318869352181007 2474 mussum 2011_10_17
1318869952181007 323840 mussum 2011_10_17
1318870552181007 8808 mussum 2011_10_17
1318871152181007 1757 mussum 2011_10_17
1318871752181007 6208 mussum 2011_10_17
1318872352181007 5499 mussum 2011_10_17
1318872952181007 10589 mussum 2011_10_17
1318873552181007 264 mussum 2011_10_17
1318874152181007 246 mussum 2011_10_17
1318874752181007 17239 mussum 2011_10_17
1318875352181007 4778 mussum 2011_10_17
1318875952181007 1316 mussum 2011_10_17
1318876552181007 269 mussum 2011_10_17
1318877152181007 4180 mussum 2011_10_17
1318877752181007 17428 mussum 2011_10_17
1318878352181007 38 mussum 2011_10_17
1318878952181007 48 mussum 2011_10_17
1318879552181007 39 mussum 2011_10_17
1318880152181007 31 mussum 2011_10_17
1318880752181007 23 mussum 2011_10_17
1318882552181007 25 mussum 2011_10_17
1318883152181007 16 mussum 2011_10_17
1318884352181007 27 mussum 2011_10_17
1318885552181007 4 mussum 2011_10_17
1318886152181007 32 mussum 2011_10_17
1318887952181007 27 mussum 2011_10_17
1318889152181007 14 mussum 2011_10_17
1318889752181007 29 mussum 2011_10_17
1318890352181007 12 mussum 2011_10_17
1318890952181007 4 mussum 2011_10_17
1318891552181007 23 mussum 2011_10_17
1318892752181007 3 mussum 2011_10_17
1318893352181007 26 mussum 2011_10_17
1318893952181007 11 mussum 2011_10_17
1318894552181007 5 mussum 2011_10_17
1318895152181007 23 mussum 2011_10_17
1318895752181007 4 mussum 2011_10_17
1318896952181007 56 mussum 2011_10_17
1318897552181007 18 mussum 2011_10_17
1318898152181007 5 mussum 2011_10_17
1318898752181007 23 mussum 2011_10_17
1318900552181007 29 mussum 2011_10_17
1318901152181007 3 mussum 2011_10_17
1318901752181007 9 mussum 2011_10_17
1318902352181007 25 mussum 2011_10_17
1318903552181007 25 mussum 2011_10_17
1318904152181007 4 mussum 2011_10_17
1318904752181007 9 mussum 2011_10_17
1318905352181007 51 mussum 2011_10_17
1318823752181007 5 ourico 2011_10_17
1318840552181007 2 ourico 2011_10_17
1318844152181007 70 ourico 2011_10_17
1318845352181007 5 ourico 2011_10_17
1318845952181007 214 ourico 2011_10_17
1318846552181007 1 ourico 2011_10_17
1318847152181007 3 ourico 2011_10_17
1318852552181007 37125 ourico 2011_10_17
1318853152181007 8021 ourico 2011_10_17
1318853752181007 6169 ourico 2011_10_17
1318854352181007 1835 ourico 2011_10_17
1318854952181007 10531 ourico 2011_10_17
1318855552181007 1458 ourico 2011_10_17
1318856152181007 4390 ourico 2011_10_17
1318856752181007 6402 ourico 2011_10_17
1318857352181007 21323 ourico 2011_10_17
